.	
A bingo calling app.	Une Application de Bingo
A little software shop.	Un Petit Atelier Logiciel
Acajou	
Acajou Studio	
Acajou Support	Le support Acajou Studio
Bring excitement to your Bingo games with a modern, fully featured solution that makes running Bingo	
Call Me Bingo	
Call-Me-Bingo	
Card Scanning	Numérisation de Carte
Check winning cards instantly by scanning or entering them	Vérifiez instantanément les cartes gagnantes en les scannant ou en les saisissant
Draw the next ball randomly, on a timer, or manually	Tirez la prochaine boule au hasard, à intervalles réguliers ou manuellement
Enjoy built-in voice calling with adjustable speed	Profitez de l’annonce vocale intégrée avec vitesse réglable
Français	English
Full Screen presentation of current game (AirPlay)	Présentation en plein écran de la partie en cours (AirPlay)
Home	Accueil
Introduction Screen	Écran d'Accueil
Main Screen	Écran principale
Our Apps & Games	Nos Jeux et Applications
Pre-Lune	
Project a view of the draws on a big screen via AirPlay	Projetez l’affichage des tirages sur grand écran via AirPlay
Run smoother, more engaging Bingo sessions—whether at home, in the community, or at large events!	Animez des parties de bingo fluides et captivantes — que ce soit à la maison, dans la communauté ou lors de grands événements !
Screenshots	Captures d'Écran
Studio	
Support	
Support - Call Me Bingo	
Supports both US-style and UK-style Bingo	Support pour Bingo de Style Nord-Américain (75 boules) ou Britannique (90 boules)
To get support contact	Pour avoir de l'aide, contactez 
UK-style 90 balls support	Bingo de Style Britannique (90 boules)
Winning Pattern Selection	Selection des Conditions Gagnantes
effortless and fun.	
⌂	
"href=""/fr/call-me-bingo/support"""	"href=""/call-me-bingo/support"""
"href=""fr"""	"href=""/"""
"href=""/fr/call-me-bingo"""	"href=""/call-me-bingo"""
